sale_id,line_item_id,product_id,price,quantity,taxable
5763728428,6,42314780,12,1,N
5763728428,6,42314782,12,1,N
5763728428,6,42314783,12,1,N
5763728428,6,42314784,12,1,N
5763728475,3,42314780,12,1,N
5763728475,3,42314783,12,2,N
5763728475,3,42314784,12,1,N
5763728393,3,42314677,12,2,N
5763728393,3,42314780,12,1,N
5763728393,3,42314782,12,1,N
5763728447,6,42314677,12,3,N
5763728447,6,42314678,12,2,N
5763728447,6,42314780,12,2,N
5763728447,6,42314782,12,1,N
5763728447,6,42314783,12,1,N
5763728447,6,42314784,12,1,N
5763729200,1,42314782,12,1,N
5763728427,1,42314678,12,2,N
5763729033,5,42314677,12,1,N
5763729033,5,42314678,12,2,N
5763729033,5,42314679,12,2,N
5763729033,5,42314782,12,1,N
5763729033,5,42314784,12,1,N
5763728865,4,42314677,12,3,N
5763728865,4,42314678,12,1,N
5763728865,4,42314679,12,1,N
5763728865,4,42314780,12,1,N
5763728580,1,42314678,12,1,N
5763729211,3,42314678,12,2,N
5763729211,3,42314782,12,1,N
5763729211,3,42314784,12,1,N
5763728432,5,42314678,12,1,N
5763728432,5,42314780,12,3,N
5763728432,5,42314781,12,1,N
5763728432,5,42314782,12,2,N
5763728432,5,42314784,12,1,N
5763729085,4,42314677,12,2,N
5763729085,4,42314678,12,2,N
5763729085,4,42314780,12,3,N
5763729085,4,42314782,12,1,N
5763729212,2,42314677,12,2,N
5763729212,2,42314782,12,2,N
5763728985,5,42314677,12,1,N
5763728985,5,42314678,12,1,N
5763728985,5,42314780,12,1,N
5763728985,5,42314782,12,4,N
5763728985,5,42314783,12,1,N
5763728661,4,42314677,12,2,N
5763728661,4,42314678,12,1,N
5763728661,4,42314782,12,2,N
5763728661,4,42314784,12,1,N
5763728371,3,42314678,12,1,N
5763728371,3,42314780,12,2,N
5763728371,3,42314782,12,1,N
5763729129,3,42314677,12,1,N
5763729129,3,42314679,12,1,N
5763729129,3,42314783,12,1,N
5763728809,4,42314677,12,3,N
5763728809,4,42314678,12,2,N
5763728809,4,42314780,12,1,N
5763728809,4,42314783,12,1,N
5763728684,2,42314678,12,1,N
5763728684,2,42314783,12,1,N
5763728638,4,42314677,12,1,N
5763728638,4,42314678,12,1,N
5763728638,4,42314782,12,1,N
5763728638,4,42314784,12,1,N
5763729066,2,42314679,12,1,N
5763729066,2,42314782,12,1,N
5763728633,3,42314678,12,1,N
5763728633,3,42314780,12,1,N
5763728633,3,42314781,12,1,N
5763728693,4,42314677,12,3,N
5763728693,4,42314679,12,1,N
5763728693,4,42314782,12,3,N
5763728693,4,42314783,12,1,N
5763728604,4,42314677,12,4,N
5763728604,4,42314679,12,1,N
5763728604,4,42314782,12,1,N
5763728604,4,42314783,12,1,N
5763729330,1,42314784,12,1,N
5763728712,5,42314677,12,3,N
5763728712,5,42314780,12,5,N
5763728712,5,42314782,12,1,N
5763728712,5,42314783,12,1,N
5763728712,5,42314784,12,1,N
5763728736,4,42314677,12,1,N
5763728736,4,42314678,12,1,N
5763728736,4,42314780,12,1,N
5763728736,4,42314782,12,3,N
5763728864,6,42314677,12,1,N
5763728864,6,42314678,12,2,N
5763728864,6,42314780,12,1,N
5763728864,6,42314781,12,1,N
5763728864,6,42314782,12,2,N
5763728864,6,42314783,12,2,N
5763728451,2,42314677,12,2,N
5763728451,2,42314782,12,1,N
5763729286,6,42314677,12,2,N
5763729286,6,42314678,12,1,N
5763729286,6,42314679,12,1,N
5763729286,6,42314780,12,3,N
5763729286,6,42314782,12,3,N
5763729286,6,42314784,12,2,N
5763728545,6,42314677,12,1,N
5763728545,6,42314678,12,2,N
5763728545,6,42314780,12,1,N
5763728545,6,42314781,12,1,N
5763728545,6,42314782,12,2,N
5763728545,6,42314784,12,1,N
5763729271,5,42314677,12,2,N
5763729271,5,42314679,12,1,N
5763729271,5,42314780,12,2,N
5763729271,5,42314782,12,2,N
5763729271,5,42314784,12,1,N
5763729243,4,42314677,12,5,N
5763729243,4,42314678,12,1,N
5763729243,4,42314679,12,2,N
5763729243,4,42314784,12,2,N
5763729155,1,42314679,12,1,N
5763729028,6,42314677,12,2,N
5763729028,6,42314678,12,1,N
5763729028,6,42314780,12,1,N
5763729028,6,42314782,12,4,N
5763729028,6,42314783,12,2,N
5763729028,6,42314784,12,1,N
5763729097,4,42314677,12,1,N
5763729097,4,42314780,12,4,N
5763729097,4,42314782,12,2,N
5763729097,4,42314784,12,2,N
5763729313,4,42314677,12,2,N
5763729313,4,42314780,12,1,N
5763729313,4,42314782,12,2,N
5763729313,4,42314783,12,2,N
5763729209,4,42314677,12,3,N
5763729209,4,42314678,12,1,N
5763729209,4,42314780,12,1,N
5763729209,4,42314784,12,1,N
5763728751,6,42314677,12,1,N
5763728751,6,42314678,12,1,N
5763728751,6,42314780,12,1,N
5763728751,6,42314782,12,1,N
5763728751,6,42314783,12,1,N
5763728751,6,42314784,12,1,N
5763728948,5,42314677,12,2,N
5763728948,5,42314678,12,4,N
5763728948,5,42314679,12,1,N
5763728948,5,42314780,12,1,N
5763728948,5,42314782,12,3,N
5763729016,5,42314677,12,2,N
5763729016,5,42314679,12,1,N
5763729016,5,42314780,12,2,N
5763729016,5,42314782,12,5,N
5763729016,5,42314783,12,1,N
5763728624,6,42314677,12,2,N
5763728624,6,42314678,12,1,N
5763728624,6,42314780,12,2,N
5763728624,6,42314781,12,1,N
5763728624,6,42314782,12,2,N
5763728624,6,42314783,12,1,N
5763728761,1,42314678,12,2,N
5763729122,5,42314677,12,1,N
5763729122,5,42314678,12,2,N
5763729122,5,42314780,12,1,N
5763729122,5,42314782,12,2,N
5763729122,5,42314783,12,1,N
5763728602,2,42314678,12,2,N
5763728602,2,42314780,12,3,N
5763729279,5,42314677,12,2,N
5763729279,5,42314780,12,2,N
5763729279,5,42314782,12,1,N
5763729279,5,42314783,12,2,N
5763729279,5,42314784,12,1,N
5763728949,1,42314677,12,1,N
5763729031,1,42314677,12,2,N
5763728980,6,42314677,12,2,N
5763728980,6,42314678,12,1,N
5763728980,6,42314679,12,1,N
5763728980,6,42314780,12,3,N
5763728980,6,42314783,12,1,N
5763728980,6,42314784,12,1,N
5763728921,4,42314677,12,1,N
5763728921,4,42314780,12,1,N
5763728921,4,42314782,12,1,N
5763728921,4,42314783,12,1,N
5763728740,3,42314678,12,1,N
5763728740,3,42314780,12,2,N
5763728740,3,42314782,12,1,N
5763729280,4,42314677,12,2,N
5763729280,4,42314678,12,2,N
5763729280,4,42314780,12,1,N
5763729280,4,42314782,12,1,N
5763728894,6,42314677,12,4,N
5763728894,6,42314678,12,2,N
5763728894,6,42314780,12,2,N
5763728894,6,42314782,12,2,N
5763728894,6,42314783,12,1,N
5763728894,6,42314784,12,1,N
5763728919,6,42314677,12,2,N
5763728919,6,42314678,12,2,N
5763728919,6,42314679,12,1,N
5763728919,6,42314780,12,3,N
5763728919,6,42314782,12,1,N
5763728919,6,42314783,12,1,N
5763728905,4,42314678,12,2,N
5763728905,4,42314780,12,2,N
5763728905,4,42314782,12,1,N
5763728905,4,42314784,12,1,N
5763728800,2,42314782,12,1,N
5763728800,2,42314784,12,1,N
5763728722,5,42314678,12,1,N
5763728722,5,42314679,12,2,N
5763728722,5,42314780,12,1,N
5763728722,5,42314782,12,1,N
5763728722,5,42314784,12,1,N
5763728749,6,42314677,12,1,N
5763728749,6,42314678,12,1,N
5763728749,6,42314780,12,1,N
5763728749,6,42314781,12,1,N
5763728749,6,42314782,12,1,N
5763728749,6,42314784,12,2,N
5763729014,4,42314780,12,1,N
5763729014,4,42314781,12,1,N
5763729014,4,42314783,12,1,N
5763729014,4,42314784,12,1,N
5763728698,2,42314780,12,1,N
5763728698,2,42314783,12,1,N
5763728556,3,42314677,12,2,N
5763728556,3,42314780,12,1,N
5763728556,3,42314784,12,1,N
5763728938,1,42314678,12,1,N
5763728742,4,42314678,12,2,N
5763728742,4,42314780,12,2,N
5763728742,4,42314782,12,3,N
5763728742,4,42314784,12,1,N
5763728964,1,42314780,12,2,N
5763728930,2,42314677,12,1,N
5763728930,2,42314784,12,1,N
5763728488,3,42314677,12,1,N
5763728488,3,42314782,12,1,N
5763728488,3,42314783,12,1,N
5763728679,4,42314677,12,2,N
5763728679,4,42314678,12,1,N
5763728679,4,42314780,12,3,N
5763728679,4,42314784,12,4,N
5763728666,4,42314780,12,6,N
5763728666,4,42314782,12,2,N
5763728666,4,42314783,12,1,N
5763728666,4,42314784,12,1,N
5763729182,4,42314678,12,1,N
5763729182,4,42314679,12,1,N
5763729182,4,42314781,12,1,N
5763729182,4,42314783,12,1,N
5763728927,4,42314677,12,1,N
5763728927,4,42314782,12,3,N
5763728927,4,42314783,12,1,N
5763728927,4,42314784,12,1,N
5763729096,2,42314677,12,3,N
5763729096,2,42314782,12,1,N
5763729268,5,42314678,12,2,N
5763729268,5,42314679,12,1,N
5763729268,5,42314780,12,1,N
5763729268,5,42314782,12,2,N
5763729268,5,42314784,12,1,N
5763729237,3,42314677,12,1,N
5763729237,3,42314678,12,2,N
5763729237,3,42314782,12,2,N
5763728673,3,42314677,12,2,N
5763728673,3,42314678,12,1,N
5763728673,3,42314782,12,1,N
